Income,year,avg_rent,Income_Rent_Ratio,District_Avg_Rent,District_Income_Variability,Income_group_High,Income_group_Low,Income_group_Medium,Income_group_Medium-High,Income_group_Medium-Low,ciutat vella,eixample,gracia,horta-guinardo,les corts_district,nou barris,sant andreu_district,sant marti,sants-montjuic,sarria-sant gervasi,baro de viver,can baro,canyelles,ciutat meridiana,diagonal mar i el front maritim del poblenou,el baix guinardo,el besos i el maresme,el bon pastor,el camp d'en grassot i gracia nova,el camp de l'arpa del clot,el carmel,el clot,el coll,el congres i els indians,el fort pienc,el gotic,el guinardo,el parc i la llacuna del poblenou,el poble sec,el poblenou,el putxet i el farro,el raval,el turo de la peira,horta,hostafrancs,l'antiga esquerra de l'eixample,la barceloneta,la bordeta,la dreta de l'eixample,la font d'en fargues,la font de la guatlla,la guineueta,la marina de port,la marina del prat vermell,la maternitat i sant ramon,la nova esquerra de l'eixample,la prosperitat,la sagrera,la salut,la teixonera,la trinitat nova,la trinitat vella,la vall d'hebron,la verneda i la pau,la vila de gracia,la vila olimpica del poblenou,les corts,les roquetes,les tres torres,montbau,navas,pedralbes,porta,provencals del poblenou,sagrada familia,sant andreu,sant antoni,sant genis dels agudells,sant gervasi - galvany,sant gervasi - la bonanova,sant marti de provencals,"sant pere, santa caterina i la ribera",sants,sants - badal,sarria,torre baro,vallcarca i els penitents,"vallvidrera, el tibidabo i les planes",verdun,vilapicina i la torre llobeta
17563.5,2018,737.1825,23.82517219277452,750.91775,2887.7929325603964,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16191.6,2018,655.6925,24.693892335202857,750.91775,2887.7929325603964,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24543.733,2018,970.335,25.29408194077303,1238.325833333333,7568.584661870178,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27754.314,2018,1037.63,26.747794493220123,1238.325833333333,7568.584661870178,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41812.857,2018,1707.0125,24.494757361179254,1238.325833333333,7568.584661870178,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16067.4,2018,716.5975,22.421791870610768,634.3275,2921.14261716356,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9143.667,2018,506.965,18.036091248902785,634.3275,2921.14261716356,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12692.7,2018,677.06,18.746787581602813,634.3275,2921.14261716356,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17104.818,2018,712.6424999999999,24.001961712920576,634.3275,2921.14261716356,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13726.35,2018,664.3824999999999,20.66031239534455,634.3275,2921.14261716356,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
